"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"4/1/2024","4/2/2024","4/3/2024","EMKR","EMCORE
CUSIP: 290846401","SPR","0.1","",""
"4/1/2024","4/2/2024","4/3/2024","EMKR","EMCORE
CUSIP: 290846203","SPR","1S","",""
"4/1/2024","4/1/2024","4/3/2024","AWIN","AERWINS Technologies
CUSIP: 00810J108","Buy","1","$0.07","($0.07)"
"4/1/2024","4/1/2024","4/3/2024","DCFC","Tritium DCFC Limited
CUSIP: Q9225T108","Buy","1","$0.05","($0.05)"
"4/1/2024","4/1/2024","4/3/2024","NRXP","NRX Pharmaceuticals
CUSIP: 629444100","Buy","1","$0.49","($0.49)"
"4/1/2024","4/1/2024","4/3/2024","EMKR","EMCORE
CUSIP: 290846203","Buy","1","$0.35","($0.35)"
"4/1/2024","4/1/2024","4/3/2024","ETAOF","ETAO International
CUSIP: G31363115","Sell","1","$3.93","$3.93"
"4/1/2024","4/1/2024","4/3/2024","LGVN","Longeveron
CUSIP: 54303L203","Sell","1","$2.86","$2.86"
"4/1/2024","4/1/2024","4/1/2024","LGVN","Longeveron
CUSIP: 54303L203","SPR","1","",""
"3/28/2024","4/1/2024","4/2/2024","PLUR","Pluri
CUSIP: 72942G104","SPR","1S","",""
"3/28/2024","3/28/2024","4/2/2024","UCAR","U Power
CUSIP: G9520U108","Buy","1","$0.05","($0.05)"
"3/28/2024","3/28/2024","4/2/2024","PLUR","Pluri
CUSIP: 72942G104","Buy","1","$0.81","($0.81)"
"3/28/2024","3/28/2024","3/28/2024","ETAOF","ETAO International
CUSIP: G31363115","SPR","1","",""
"3/27/2024","3/27/2024","4/1/2024","BCAN","BYND Cannasoft Enterprises
CUSIP: 05608P208","Sell","0.005263","$1.32","$0.01"
"3/27/2024","3/27/2024","4/1/2024","ATER","Aterian
CUSIP: 02156U200","Sell","0.083333","$2.92","$0.24"
"3/27/2024","3/27/2024","4/1/2024","HPCO","Hempacco
CUSIP: 42371L205","Sell","0.1","$1.62","$0.16"
"3/27/2024","3/27/2024","4/1/2024","TGL","Treasure Global
CUSIP: 89458T205","Sell","0.014286","$4.02","$0.06"
"3/27/2024","3/27/2024","4/1/2024","INTZ","Intrusion
CUSIP: 46121E304","Sell","1","$2.84","$2.84"
"3/27/2024","3/27/2024","3/27/2024","INTZ","Intrusion
CUSIP: 46121E304","SPR","1","",""
"3/26/2024","3/27/2024","3/28/2024","LGVN","Longeveron
CUSIP: 54303L104","SPR","1S","",""
"3/26/2024","3/26/2024","3/28/2024","MBRX","Moleculin Biotech
CUSIP: 60855D309","Sell","1","$4.66","$4.66"
"3/26/2024","3/26/2024","3/28/2024","MLGO","MicroAlgo
CUSIP: G6077Y202","Sell","1","$4.66","$4.66"
"3/26/2024","3/26/2024","3/28/2024","LGVN","Longeveron
CUSIP: 54303L104","Buy","1","$0.37","($0.37)"
"3/26/2024","3/26/2024","3/26/2024","ETAO","Etao
CUSIP: G31363107","SPR","1S","",""
"3/26/2024","3/26/2024","3/26/2024","MLGO","MicroAlgo
CUSIP: G6077Y202","SPR","1","",""
"3/26/2024","3/26/2024","3/26/2024","MBRX","Moleculin Biotech
CUSIP: 60855D309","SPR","1","",""
"3/25/2024","3/25/2024","3/25/2024","INTZ","Intrusion
CUSIP: 46121E205","SPR","1S","",""
"3/22/2024","3/22/2024","3/26/2024","ETAO","Etao
CUSIP: G31363107","Buy","1","$0.26","($0.26)"
"3/22/2024","3/22/2024","3/26/2024","BTTR","Better Choice Company
CUSIP: 08771Y402","Sell","1","$6.86","$6.86"
"3/22/2024","3/22/2024","3/22/2024","BTTR","Better Choice Company
CUSIP: 08771Y402","SPR","1","",""
"3/22/2024","3/22/2024","3/22/2024","BCAN","BYND Cannasoft Enterprises
CUSIP: 05608P208","SPR","0.0053","",""
"3/22/2024","3/22/2024","3/22/2024","BCAN","BYND Cannasoft Enterprises
CUSIP: 05608P109","SPR","1S","",""
"3/21/2024","3/22/2024","3/25/2024","MBRX","Moleculin Biotech
CUSIP: 60855D200","SPR","1S","",""
"3/21/2024","3/22/2024","3/25/2024","MLGO","MicroAlgo
CUSIP: G6077Y103","SPR","1S","",""
"3/21/2024","3/22/2024","3/25/2024","ATER","Aterian
CUSIP: 02156U200","SPR","0.0833","",""
"3/21/2024","3/22/2024","3/25/2024","ATER","Aterian
CUSIP: 02156U101","SPR","1S","",""
"3/21/2024","3/21/2024","3/25/2024","ATER","Aterian
CUSIP: 02156U101","Buy","1","$0.29","($0.29)"
"3/21/2024","3/21/2024","3/25/2024","MLGO","MicroAlgo
CUSIP: G6077Y103","Buy","1","$0.43","($0.43)"
"3/21/2024","3/21/2024","3/25/2024","MBRX","Moleculin Biotech
CUSIP: 60855D200","Buy","1","$0.45","($0.45)"
"3/21/2024","3/21/2024","3/21/2024","BTTR","Better Choice Company
CUSIP: 08771Y303","SPR","1S","",""
"3/20/2024","3/20/2024","3/22/2024","CISO","CISO Global
CUSIP: 15672X201","Sell","1","$1.25","$1.25"
"3/20/2024","3/20/2024","3/22/2024","XTIA","XTI Aerospace, Inc.
CUSIP: 98423K108","Sell","1","$2.13","$2.13"
"3/20/2024","3/20/2024","3/22/2024","LMFA","LM Funding America, Inc.
CUSIP: 502074503","Sell","1","$2.70","$2.70"
"3/19/2024","3/19/2024","3/21/2024","INTZ","Intrusion
CUSIP: 46121E205","Buy","1","$0.20","($0.20)"
"3/19/2024","3/19/2024","3/21/2024","BCAN","BYND Cannasoft Enterprises
CUSIP: 05608P109","Buy","1","$0.02","($0.02)"
"3/19/2024","3/19/2024","3/21/2024","BTTR","Better Choice Company
CUSIP: 08771Y303","Buy","1","$0.16","($0.16)"
"3/15/2024","3/15/2024","3/15/2024","XTIA","XTI Aerospace, Inc.
CUSIP: 98423K108","SPR","1","",""
