Instrument,Activity Date,Trans Code,Quantity,Price
BACK,9/7/2023,Buy,1.0,0.11
GROM,9/6/2023,Buy,1.0,0.29
RVYL,9/6/2023,Buy,1.0,0.67
SEQL,9/5/2023,Sell,1.0,17.27
FFIE,8/31/2023,Sell,1.0,7.88
SQL,8/30/2023,Buy,1.0,0.41
BTCT,8/28/2023,Sell,1.0,2.04
MNTS,8/28/2023,Sell,1.0,8.0
FFIE,8/25/2023,Buy,1.0,0.16
IDEX,8/25/2023,Sell,0.008,3.56
SUNLQ,8/25/2023,Sell,1.0,2.16
TIVC,8/25/2023,Sell,0.01,2.28
METX,8/23/2023,Buy,1.0,0.17
MNTS,8/23/2023,Buy,1.0,0.24
IDEX,8/23/2023,Buy,1.0,0.04
TIVC,8/22/2023,Buy,1.0,0.05
SUNL,8/22/2023,Buy,1.0,0.12
UPC,8/22/2023,Sell,1.0,1.52
TAOP,8/22/2023,Sell,1.0,2.76
SYTA,8/22/2023,Sell,0.01,2.66
ADTX,8/22/2023,Sell,1.0,11.44
OTRK,8/22/2023,Sell,1.0,1.64
KPLT,8/22/2023,Sell,1.0,14.9
ADTX,8/17/2023,Buy,1.0,0.4
SYTA,8/8/2023,Buy,1.0,0.04
TAOP,7/31/2023,Buy,1.0,0.55
INVO,7/31/2023,Sell,0.05,4.1
BNTC,7/31/2023,Sell,1.0,3.12
UPC,7/27/2023,Buy,1.0,0.37
OTRK,7/27/2023,Buy,1.0,0.38
INVO,7/27/2023,Buy,1.0,0.18
KPLT,7/27/2023,Buy,1.0,0.82
BNTC,7/25/2023,Buy,1.0,0.21
JZXN,7/12/2023,Sell,1.0,2.79
AUID,7/12/2023,Sell,1.0,6.9
AREB,7/11/2023,Sell,1.0,2.43
ACST,7/10/2023,Sell,0.166667,2.94
TLIS,7/10/2023,Sell,1.0,7.34
JZXN,7/7/2023,Buy,1.0,0.15
ACST,7/7/2023,Buy,1.0,0.52
AGFY,7/7/2023,Sell,1.0,2.77
XXII,7/7/2023,Sell,1.0,2.62
BFRI,7/7/2023,Sell,1.0,8.92
BTCY,7/6/2023,Sell,1.0,2.67
PRFX,7/6/2023,Sell,1.0,5.8
AUID,7/5/2023,Buy,1.0,1.02
TLIS,7/5/2023,Buy,1.0,0.5
IKT,7/5/2023,Sell,1.0,3.41
MRAI,7/5/2023,Sell,1.0,1.63
BFRI,7/3/2023,Buy,1.0,0.54
AGFY,7/3/2023,Buy,1.0,0.18
XXII,7/3/2023,Buy,1.0,0.29
PRFX,6/30/2023,Buy,1.0,0.56
BTCY,6/30/2023,Buy,1.0,0.64
ATXG,6/30/2023,Sell,0.1,7.13
ATXG,6/29/2023,Buy,1.0,0.66
IKT,6/29/2023,Buy,1.0,0.59
ALLR,6/29/2023,Sell,0.025,8.78
ANY,6/29/2023,Sell,0.142857,1.93
ANY,6/28/2023,Buy,1.0,0.31
MRAI,6/28/2023,Buy,1.0,0.48
ALLR,6/28/2023,Buy,1.0,0.17
AREB,6/26/2023,Buy,1.0,0.17
MEDS,6/26/2023,Sell,1.0,13.9
SHPW,6/23/2023,Sell,0.125,4.3
MEDS,6/21/2023,Buy,1.0,0.36
SHPW,6/21/2023,Buy,1.0,0.42
STCN,6/21/2023,Buy,1.0,0.84
ATIP,6/21/2023,Sell,1.0,12.98
IZEA,6/21/2023,Sell,1.0,2.68
BOXL,6/21/2023,Sell,1.0,2.1
IZEA,6/15/2023,Buy,1.0,0.7
ATIP,6/14/2023,Buy,1.0,0.2
AUMN,6/14/2023,Sell,1.0,2.16
CELZ,6/14/2023,Sell,1.0,4.66
BOXL,6/13/2023,Buy,1.0,0.33
CELZ,6/9/2023,Buy,1.0,0.41
AUMN,6/8/2023,Buy,1.0,0.11
VTGN,6/7/2023,Sell,0.033333,2.81
BBLG,6/7/2023,Sell,0.033333,5.9
ACORQ,6/7/2023,Sell,1.0,10.01
BBLG,6/6/2023,Buy,1.0,0.19
VTGN,6/6/2023,Buy,1.0,0.1
LIXT,6/6/2023,Sell,0.1,6.2
TRKAQ,6/5/2023,Sell,1.0,3.41
CBUS,6/5/2023,Sell,1.0,20.07
LIXT,6/2/2023,Buy,1.0,0.66
ACOR,6/2/2023,Buy,1.0,0.57
BTOG,6/1/2023,Sell,1.0,2.01
CLXT,5/31/2023,Buy,1.0,7.02
LIQT,5/31/2023,Sell,1.0,3.2
TRKA,5/31/2023,Buy,1.0,0.14
BTOG,5/26/2023,Buy,1.0,0.08
NVFY,5/26/2023,Sell,1.0,3.04
SEAC,5/25/2023,Sell,1.0,8.25
LIQT,5/25/2023,Buy,1.0,0.4
NVFY,5/23/2023,Buy,1.0,0.6
BRDSQ,5/23/2023,Sell,1.0,2.8
SEAC,5/22/2023,Buy,1.0,0.44
BRDS,5/18/2023,Buy,1.0,0.1
GLMD,5/18/2023,Sell,1.0,4.59
GREE,5/18/2023,Sell,1.0,3.58
SDIG,5/18/2023,Sell,1.0,5.43
IFBD,5/18/2023,Sell,1.0,1.61
ALPP,5/18/2023,Sell,1.0,2.06
RETO,5/18/2023,Sell,1.0,2.23
ROII,5/18/2023,Sell,1.0,1.4
EAST,5/18/2023,Sell,1.0,3.83
XBIO,5/18/2023,Sell,1.0,2.83
LPCN,5/16/2023,Sell,1.0,3.54
VERO,5/16/2023,Sell,1.0,2.79
GREE,5/15/2023,Buy,1.0,0.35
SDIG,5/15/2023,Buy,1.0,0.68
BBIG,5/15/2023,Sell,1.0,2.34
HEPA,5/15/2023,Sell,1.0,7.27
EAST,5/12/2023,Buy,1.0,0.19
ALPP,5/12/2023,Buy,1.0,0.29
XBIO,5/12/2023,Buy,1.0,0.33
IFBD,5/12/2023,Buy,1.0,0.26
GLMD,5/12/2023,Buy,1.0,0.33
BNMV,5/12/2023,Buy,1.0,0.04
TNXP,5/12/2023,Sell,1.0,1.8
LPCN,5/11/2023,Buy,1.0,0.3
VERO,5/11/2023,Buy,1.0,0.21
RETO,5/11/2023,Buy,1.0,0.23
BBIG,5/10/2023,Buy,1.0,0.14
HEPA,5/10/2023,Buy,1.0,0.53
MULN,5/9/2023,Sell,1.0,1.42
WGS,5/9/2023,Sell,1.0,8.35
TNXP,5/9/2023,Buy,1.0,0.38
EZFL,5/3/2023,Sell,1.0,2.41
MULN,5/3/2023,Buy,1.0,0.07
WGS,5/3/2023,Buy,1.0,0.26
EZFL,4/26/2023,Buy,1.0,0.28
POAI,4/26/2023,Sell,1.0,2.74
OIGBQ,4/26/2023,Sell,1.0,2.02
JXJT,4/26/2023,Sell,0.1,4.5
BKTI,4/26/2023,Sell,1.0,10.86
OUST,4/26/2023,Sell,1.0,3.44
JXJT,4/25/2023,Buy,1.0,0.52
ASNS,4/21/2023,Sell,1.0,3.04
VERB,4/21/2023,Sell,1.0,2.52
POAI,4/21/2023,Buy,1.0,0.2
BKTI,4/21/2023,Buy,1.0,2.62
OUST,4/20/2023,Buy,1.0,0.39
OIG,4/20/2023,Buy,1.0,0.06
ASNS,4/18/2023,Buy,1.0,0.39
VERB,4/18/2023,Buy,1.0,0.09
ARVLF,4/18/2023,Sell,1.0,4.0
BLBX,4/14/2023,Sell,1.0,2.53
LOGC,4/14/2023,Sell,1.0,7.61
ARVL,4/13/2023,Buy,1.0,0.11
WISH,4/11/2023,Buy,1.0,0.32
WTER,4/10/2023,Sell,1.0,1.42
BLBX,4/10/2023,Buy,1.0,0.83
MCOM,4/10/2023,Sell,1.0,2.13
CHNR,4/10/2023,Sell,1.0,2.27
OCTO,4/10/2023,Sell,1.0,2.18
WTER,4/4/2023,Buy,1.0,0.11
TYDE,4/3/2023,Buy,1.0,0.06
CHNR,3/31/2023,Buy,1.0,0.58
