Instrument,Activity Date,Buy Price,Sell Price,Quantity,Profit
SDIG,5/15/2023,0.68,5.43,1.0,4.75
ALPP,5/12/2023,0.29,2.06,1.0,1.77
EAST,5/12/2023,0.19,3.83,1.0,3.64
XBIO,5/12/2023,0.33,2.83,1.0,2.5
LPCN,5/11/2023,0.3,3.54,1.0,3.24
VERO,5/11/2023,0.21,2.79,1.0,2.58
BBIG,5/10/2023,0.14,2.34,1.0,2.1999999999999997
HEPA,5/10/2023,0.53,7.27,1.0,6.739999999999999
WGS,5/3/2023,0.26,8.35,1.0,8.09
EZFL,4/26/2023,0.28,2.41,1.0,2.13
POAI,4/21/2023,0.2,2.74,1.0,2.54
BKTI,4/21/2023,2.62,10.86,1.0,8.239999999999998
OUST,4/20/2023,0.39,3.44,1.0,3.05
ASNS,4/18/2023,0.39,3.04,1.0,2.65
VERB,4/18/2023,0.09,2.52,1.0,2.43
BLBX,4/10/2023,0.83,2.53,1.0,1.6999999999999997
WTER,4/4/2023,0.11,1.42,1.0,1.3099999999999998
CHNR,3/31/2023,0.58,2.27,1.0,1.69
PTIX,3/22/2023,0.43,1.68,1.0,1.25
BAOS,3/21/2023,0.73,3.22,1.0,2.49
LKCO,3/21/2023,0.11,1.9,1.0,1.7899999999999998
VIA,3/21/2023,5.39,16.5,1.0,11.11
KRBP,3/10/2023,0.15,4.26,1.0,4.109999999999999
CPHI,3/3/2023,0.06,0.59,1.0,0.53
CPHI,3/3/2023,0.06,0.59,1.0,0.53
IONM,3/3/2023,0.25,5.76,1.0,5.51
